Lab,Target,isCtrl,Batch,dPCR,Sample code,SamName,Dilution,R1,R2,R3,R4
NML,N2,FALSE,1,TRUE,ISN,WHO-IS_dilution_0,1,78235635.68,78032751.62,79441525.71,78544066.8
NML,N2,FALSE,2,TRUE,ISN,WHO-IS_dilution_0,1,93792533.19,88510688.68,88569549.7,90038048.04
NML,N2,FALSE,3,TRUE,ISN,WHO-IS_dilution_0,1,80712854.42,79739393.51,76286503.83,71847375.41
NIB,N2,FALSE,1,TRUE,I4,Zeptometrix,1,25354.45288,16689.85902,23845.06438,
NIST,N2,FALSE,1,TRUE,I4,Zeptometrix,1,34361.65425,37275.51265,31040.54173,
NIST,N2,FALSE,2,TRUE,I4,Zeptometrix,1,26070.29145,22781.67909,23876.01154,
NIST,N2,FALSE,3,TRUE,I4,Zeptometrix,1,40120.44939,40255.14417,45194.37082,
NML,N2,FALSE,1,TRUE,I4,Zeptometrix,1,25663.79371,28115.44874,25932.35672,19982.67069
NML,N2,FALSE,2,TRUE,I4,Zeptometrix,1,25636.1486,27537.47475,28769.70244,23549.41463
NML,N2,FALSE,3,TRUE,I4,Zeptometrix,1,21401.96796,30905.70155,31092.89339,26115.28421
