Lab,Target,SamName,isCtrl,isCalib,Replicate,dPCR,Raw.Value,Experiment
LANL,N2,LGC,TRUE,TRUE,3,FALSE,30.5716,1
LANL,N2,AcroMetrix,TRUE,TRUE,1,FALSE,30.1426,1
LANL,N2,AcroMetrix,TRUE,TRUE,2,FALSE,30.1413,1
LANL,N2,AcroMetrix,TRUE,TRUE,3,FALSE,29.7811,1
LANL,N2,s01,FALSE,FALSE,1,FALSE,16.6848,1
LANL,N2,s01,FALSE,FALSE,2,FALSE,16.718,1
LANL,N2,s01,FALSE,FALSE,3,FALSE,16.9047,1
LANL,N2,s02,FALSE,FALSE,1,FALSE,16.3072,1
LANL,N2,s02,FALSE,FALSE,2,FALSE,16.2236,1
LANL,N2,s02,FALSE,FALSE,3,FALSE,16.2317,1
LANL,N2,s03,FALSE,FALSE,1,FALSE,15.4926,1
LANL,N2,s03,FALSE,FALSE,2,FALSE,15.5568,1
LANL,N2,s03,FALSE,FALSE,3,FALSE,15.6334,1
LANL,N2,s04,FALSE,FALSE,1,FALSE,17.2097,1
LANL,N2,s04,FALSE,FALSE,2,FALSE,17.5126,1
LANL,N2,s04,FALSE,FALSE,3,FALSE,17.5674,1
LANL,N2,s05,FALSE,FALSE,1,FALSE,16.4691,1
LANL,N2,s05,FALSE,FALSE,2,FALSE,16.3456,1
LANL,N2,s05,FALSE,FALSE,3,FALSE,16.4255,1
LANL,N2,s06,FALSE,FALSE,1,FALSE,17.9977,1
LANL,N2,s06,FALSE,FALSE,2,FALSE,17.8982,1
LANL,N2,s06,FALSE,FALSE,3,FALSE,17.8481,1
LANL,N2,s07,FALSE,FALSE,1,FALSE,23.3882,1
LANL,N2,s07,FALSE,FALSE,2,FALSE,23.4661,1
LANL,N2,s07,FALSE,FALSE,3,FALSE,23.5653,1
LANL,N2,s08,FALSE,FALSE,1,FALSE,23.1669,1
LANL,N2,s08,FALSE,FALSE,2,FALSE,23.4571,1
LANL,N2,s08,FALSE,FALSE,3,FALSE,22.966,1
LANL,N2,s09,FALSE,FALSE,1,FALSE,25.7169,1
LANL,N2,s09,FALSE,FALSE,2,FALSE,25.3649,1
LANL,N2,s09,FALSE,FALSE,3,FALSE,24.5628,1
LANL,N2,s10,FALSE,FALSE,1,FALSE,25.2685,1
LANL,N2,s10,FALSE,FALSE,2,FALSE,25.9993,1
LANL,N2,s10,FALSE,FALSE,3,FALSE,25.8397,1
LANL,N2,s11,FALSE,FALSE,1,FALSE,38.3921,1
LANL,N2,s11,FALSE,FALSE,2,FALSE,38.3332,1
LANL,N2,s11,FALSE,FALSE,3,FALSE,36.0204,1
LANL,N2,s12,FALSE,FALSE,1,FALSE,37.5072,1
LANL,N2,s12,FALSE,FALSE,2,FALSE,36.1438,1
LANL,N2,s12,FALSE,FALSE,3,FALSE,37.8395,1
LANL,N2,s13,FALSE,FALSE,1,FALSE,NA,1
LANL,N2,s13,FALSE,FALSE,2,FALSE,NA,1
LANL,N2,s13,FALSE,FALSE,3,FALSE,NA,1
LANL,N2,s14,FALSE,FALSE,1,FALSE,NA,1
LANL,N2,s14,FALSE,FALSE,2,FALSE,NA,1
LANL,N2,s14,FALSE,FALSE,3,FALSE,NA,1
LANL,N2,s15,FALSE,FALSE,1,FALSE,NA,1
LANL,N2,s15,FALSE,FALSE,2,FALSE,NA,1
LANL,N2,s15,FALSE,FALSE,3,FALSE,NA,1
Biodesix,N1,Asuragen,TRUE,TRUE,2,TRUE,NA,1
Biodesix,N1,s10,FALSE,FALSE,1,TRUE,NA,2
Biodesix,N1,s10,FALSE,FALSE,2,TRUE,NA,2
Biodesix,N1,s10,FALSE,FALSE,3,TRUE,NA,2
Biodesix,N1,s11,FALSE,FALSE,1,TRUE,NA,1
Biodesix,N1,s11,FALSE,FALSE,2,TRUE,NA,1
Biodesix,N1,s11,FALSE,FALSE,3,TRUE,NA,1
Biodesix,N1,s11,FALSE,FALSE,1,TRUE,NA,2
Biodesix,N1,s11,FALSE,FALSE,2,TRUE,NA,2
Biodesix,N1,s11,FALSE,FALSE,3,TRUE,NA,2
Biodesix,N1,s12,FALSE,FALSE,1,TRUE,NA,1
Biodesix,N1,s12,FALSE,FALSE,2,TRUE,NA,1
Biodesix,N1,s12,FALSE,FALSE,3,TRUE,NA,1
Biodesix,N1,s12,FALSE,FALSE,1,TRUE,NA,2
Biodesix,N1,s12,FALSE,FALSE,2,TRUE,NA,2
Biodesix,N1,s12,FALSE,FALSE,3,TRUE,NA,2
Biodesix,N1,s13,FALSE,FALSE,1,TRUE,NA,1
Biodesix,N1,s13,FALSE,FALSE,2,TRUE,NA,1
Biodesix,N1,s13,FALSE,FALSE,3,TRUE,NA,1
Biodesix,N1,s13,FALSE,FALSE,1,TRUE,NA,2
Biodesix,N1,s13,FALSE,FALSE,2,TRUE,NA,2
Biodesix,N1,s13,FALSE,FALSE,3,TRUE,NA,2
Biodesix,N1,s14,FALSE,FALSE,1,TRUE,NA,1
Biodesix,N1,s14,FALSE,FALSE,2,TRUE,NA,1
Biodesix,N1,s14,FALSE,FALSE,3,TRUE,NA,1
Biodesix,N1,s14,FALSE,FALSE,1,TRUE,NA,2
Biodesix,N1,s14,FALSE,FALSE,2,TRUE,NA,2
Biodesix,N1,s14,FALSE,FALSE,3,TRUE,NA,2
Biodesix,N1,s15,FALSE,FALSE,1,TRUE,NA,1
Biodesix,N1,s15,FALSE,FALSE,2,TRUE,NA,1
Biodesix,N1,s15,FALSE,FALSE,3,TRUE,NA,1
Biodesix,N1,s15,FALSE,FALSE,1,TRUE,NA,2
Biodesix,N1,s15,FALSE,FALSE,2,TRUE,NA,2
Biodesix,N1,s15,FALSE,FALSE,3,TRUE,NA,2
Biodesix,N2,Asuragen,TRUE,TRUE,1,TRUE,NA,1
Biodesix,N2,Asuragen,TRUE,TRUE,2,TRUE,NA,1
Biodesix,N2,Asuragen,TRUE,TRUE,3,TRUE,NA,1
Biodesix,N2,s10,FALSE,FALSE,1,TRUE,NA,2
Biodesix,N2,s10,FALSE,FALSE,2,TRUE,NA,2
Biodesix,N2,s10,FALSE,FALSE,3,TRUE,NA,2
Biodesix,N2,s11,FALSE,FALSE,1,TRUE,NA,1
Biodesix,N2,s11,FALSE,FALSE,2,TRUE,NA,1
Biodesix,N2,s11,FALSE,FALSE,3,TRUE,NA,1
Biodesix,N2,s11,FALSE,FALSE,1,TRUE,NA,2
Biodesix,N2,s11,FALSE,FALSE,2,TRUE,NA,2
Biodesix,N2,s11,FALSE,FALSE,3,TRUE,NA,2
Biodesix,N2,s12,FALSE,FALSE,1,TRUE,NA,1
Biodesix,N2,s12,FALSE,FALSE,2,TRUE,NA,1
Biodesix,N2,s12,FALSE,FALSE,3,TRUE,NA,1
Biodesix,N2,s12,FALSE,FALSE,1,TRUE,NA,2
Biodesix,N2,s12,FALSE,FALSE,2,TRUE,NA,2
Biodesix,N2,s12,FALSE,FALSE,3,TRUE,NA,2
Biodesix,N2,s13,FALSE,FALSE,1,TRUE,NA,1
Biodesix,N2,s13,FALSE,FALSE,2,TRUE,NA,1
Biodesix,N2,s13,FALSE,FALSE,3,TRUE,NA,1
Biodesix,N2,s13,FALSE,FALSE,1,TRUE,NA,2
